run_id,ep_ratio,ethylene_g,propylene_g,enb_ml,polymer_g,activity_1e7_g_mol_h,mooney,Mw,PDI,C2_wt,C3_wt,ENB_wt,Tg_C,Tm_C
1108-1,1:2,16.68,50,2,42.5,8.5,123.25,291200,2.76,38.40,57.40,4.20,-50,
1108-2,1:2,16.9,50,5,40.0,8.0,98.73,335700,2.68,41.00,51.20,7.80,-46,
1108-3,1:2,16.86,50,7.5,45.4,9.08,102.88,334500,2.71,36.80,52.23,10.97,-40,
1109-1,1:1,26.86,40,2,39.8,7.96,52.67,395900,3.51,61.30,36.14,2.56,-50,66
1109-2,1:1,23.41,35,5,37.3,7.46,79.00,360300,3.39,54.30,38.90,6.80,-45,52
1109-3,1:1,23.42,35,7.5,35.9,7.18,76.00,382000,3.32,51.90,38.20,9.90,-40,48
1107-1,2:1,34.99,25,2,43.2,8.64,74.79,439000,3.88,69.30,28.40,2.30,-50,82
1106-2,2:1,46.93,35,2,67.4,13.48,200.0,584800,3.38,76.20,22.40,1.40,-50,86
1028-1,1:1,93,140,0,133.73,1.3373,48.65,663600,3.06,56.40,43.60,0.00,,
1028-2,1:1,80,120,0,98.2,7.365,64.58,637800,3.52,60.40,39.60,0.00,,
